"ccaa_num","sexo","anyo","poblacion","idjoin","CCAA","Sexo","Periodo","casos","ccaa_num.y","tasa"
1,"Ambos sexos",2002,1087270,"12002","01 Andalucía","Hombres",2002,323,1,29.7074323765026
1,"Ambos sexos",2002,1087270,"12002","01 Andalucía","Mujeres",2002,611,1,56.1957931332604
1,"Ambos sexos",2002,1087270,"12002","01 Andalucía","Total",2002,934,1,85.903225509763
1,"Ambos sexos",2003,1103708,"12003","01 Andalucía","Hombres",2003,367,1,33.2515484167914
1,"Ambos sexos",2003,1103708,"12003","01 Andalucía","Mujeres",2003,794,1,71.9393172831945
1,"Ambos sexos",2003,1103708,"12003","01 Andalucía","Total",2003,1161,1,105.190865699986
1,"Ambos sexos",2004,1112967,"12004","01 Andalucía","Hombres",2004,419,1,37.6471180187732
1,"Ambos sexos",2004,1112967,"12004","01 Andalucía","Mujeres",2004,766,1,68.8250415331272
1,"Ambos sexos",2004,1112967,"12004","01 Andalucía","Total",2004,1185,1,106.4721595519
1,"Ambos sexos",2005,1128290,"12005","01 Andalucía","Hombres",2005,417,1,36.9585833429349
1,"Ambos sexos",2005,1128290,"12005","01 Andalucía","Mujeres",2005,982,1,87.0343617332423
1,"Ambos sexos",2005,1128290,"12005","01 Andalucía","Total",2005,1399,1,123.992945076177
1,"Ambos sexos",2006,1150426,"12006","01 Andalucía","Hombres",2006,472,1,41.0282799589022
1,"Ambos sexos",2006,1150426,"12006","01 Andalucía","Mujeres",2006,1020,1,88.6628083857632
1,"Ambos sexos",2006,1150426,"12006","01 Andalucía","Total",2006,1492,1,129.691088344665
1,"Ambos sexos",2007,1164158,"12007","01 Andalucía","Hombres",2007,516,1,44.3238804354735
1,"Ambos sexos",2007,1164158,"12007","01 Andalucía","Mujeres",2007,1104,1,94.8324883735713
1,"Ambos sexos",2007,1164158,"12007","01 Andalucía","Total",2007,1620,1,139.156368809045
1,"Ambos sexos",2008,1187219,"12008","01 Andalucía","Hombres",2008,518,1,43.6313771932558
1,"Ambos sexos",2008,1187219,"12008","01 Andalucía","Mujeres",2008,1199,1,100.992319024544
1,"Ambos sexos",2008,1187219,"12008","01 Andalucía","Total",2008,1717,1,144.6236962178
1,"Ambos sexos",2009,1213903,"12009","01 Andalucía","Hombres",2009,619,1,50.9925422377241
1,"Ambos sexos",2009,1213903,"12009","01 Andalucía","Mujeres",2009,1193,1,98.2780337473422
